Title,Channel,Video Link,Channel Link,Views,Likes,Duration,Summary
혜진궁으로의 초대 (기안84의 시선 ver.),인생84,https://www.youtube.com/watch?v=UaU2VZS-_GU,https://www.youtube.com/channel/UC1Rz7a_DWtsE9cQwSyElE0Q,656906,19934,18:24,<extra_id_0>팔사 최초 출연자인 한 씨가 한 씨의 집에 가서 밥을 먹고 싶다고 해서 같이 가자고 했다. 그런데 한 씨가 갑자기 채널을 만들고 집을 짓는다며 갑자기 집에 가자고 했다. 그래서 한 씨가 집에 가서 밥을 먹고 싶다고 했다.
[SUB] 형만 12명인 사람이 누나만 8명인 사람을 만났을 때 │  재친구 Ep.18 │  디노 김재중,우하머그 uhmg studio,https://www.youtube.com/watch?v=K726jlSWTmA,https://www.youtube.com/channel/UCrm9WNC28TyK41MUGGtywuw,567307,41351,29:39,멤버들에게 고맙다고 인사를 하고 싶다고 했는데 왜 그렇게 말을 안 하냐고 했다.
"*최초 공개* 드디어 뭉친 이시언x기안84x한혜진의 황천길 라이딩🏍️🔥 ｜삼남매 케미 폭발, 바이크 여행, 막국수 먹방, 베스파",한혜진 Han Hye Jin,https://www.youtube.com/watch?v=tjHMsxdNDus,https://www.youtube.com/channel/UCkvh3vrWsoi_cd7HyiikzIQ,839606,20960,17:34,우리의 마지막 촬영이 시작되었고 나는 홍천까지 가서 밥을 먹고 싶다고 했다. 그런데 갑자기 왜 이렇게 빨리 끝나냐고 하면서 자꾸 뭐라 그러길래 나는 그냥 집에 가서 밥을 먹고 싶다고 했다.
"이경규x김용만, 찐친들의 대환장 폭로 현장ㅋㅋㅋ (feat. 김수용) l 예능대부 갓경규 EP.19",르크크 이경규,https://www.youtube.com/watch?v=bP3a5pr61FA,https://www.youtube.com/channel/UCvRdxQlYfr64KC9CNGBn9JA,220987,6691,18:25,김 씨는 회사를 설립하고 몇 년 동안 회사를 다녔냐고 물었다. 나는 회사를 다니는 것이 아니라 그냥 회사를 운영하는 거라고 했다. 그래서 나는 회사를 운영하는 것이 아니라 사람들이 모이는 곳에 가서 인터뷰를 하고 싶다고 했다. 그래서 나는 회사를 운영하는 거라고 했다. 그런데 그 사람들이 나를 왜 그렇게 싫어하냐고 했다. 나는 회사를 
[SUB] '그'만 사랑하겠습니다 | EP.17 스위트홈2 이진욱&송강 | 살롱드립2,TEO 테오,https://www.youtube.com/watch?v=7B5UwngqBGg,https://www.youtube.com/channel/UC-uIpGINZDL-VIHQQzJW8jw,786431,19405,33:35,송 씨는 자신이 좋아하는 사람이 있다고 생각해서 그렇게 생각하는 것 같아 고맙다고 말했다.
"무조림 이렇게 조려야 맛이 쏙쏙 베여요! 이방법으로 두부조림, 고등어무조림, 어묵조림 까지 만들 수 있어 일주일 반찬 뚝딱!",첫째아들,https://www.youtube.com/watch?v=1gwhFHu32WI,https://www.youtube.com/channel/UCGL-5gylJg3G7T7epVBnhtQ,378835,3539,17:11,무조림을 한번에 다 조리지 말고 두고두고 먹는 무조림 만드는 법으로 만들어두면 여러 방식으로 맛있게 먹을 수 있다.
"미노이에게 혼나는 GYM노인.. (Feat. 미노이, 쇼리)",김종국 GYM JONG KOOK,https://www.youtube.com/watch?v=2WwrcWL8nag,https://www.youtube.com/channel/UCoe-0EVDJnjlSoPK8ygcGwQ,195271,5145,27:17,우리가 같이 운동을 할 때 어깨가 안 좋다고 하는 사람이 있는데 나는 그렇게 하지 않고 그냥 편하게 앉아서 운동을 하는 것이 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 편하게 운동을 하는 것 같아 너무 좋아 보여 나는 그냥 그냥 운동을 하는 
BABYMONSTER - 'BATTER UP' M/V,BABYMONSTER,https://www.youtube.com/watch?v=olDWm2veCrM,https://www.youtube.com/channel/UCqwUnggBBct-AY2lAdI88jQ,52177106,1719241,3:19,Batter up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up 
[#신랑수업] 남친이랑 놀러 갔는데 친누나 4명이 따라왔다💦?! 사실은 소영이가 준비한 5남매 완전체 모임❤️ #신성소영 #시누이 | 요즘남자라이프 신랑수업 92 회,채널A 캔버스,https://www.youtube.com/watch?v=pkXGGfb7oQQ,https://www.youtube.com/channel/UCaZS_XwAu1yBMNoQDD1mR7g,263600,2226,12:36,소영이가 너무 보고 싶어서 새벽부터 왔다고 했는데 이렇게 빨리 와 가지고 너무 놀랐다고 한다. 엄마가 꽃을 사가지고 갔는데 엄마가 너무 좋아 하는 거 같다고 했다. 그런데 엄마가 왜 이렇게 빨리 와 가지고 엄마가 너무 미안하다고 했다.
김동률 (Kim Dong Ryul) - 옛 얘기지만 (After All This Time) (Official Lyric Video),김동률 KIM DONG RYUL,https://www.youtube.com/watch?v=0k8SJJOLapY,https://www.youtube.com/channel/UC0QLlya0ouABayHyzwt6MqA,98524,5698,3:26,옛 얘기지만 다 지나버린 음악 이야기지만 갑자기 또 날 괴롭혔고 곱씹으면 다 알 것 같아 더 미치겠 왠지 모를 확 나는 것 같았고 그날 따라 난 하이 음악 같았고 하지 말아야 할 말과 눈빛 말투 몸치 모두 내게 쏟아내지 넌 아무 말도 하지 았지 그처럼 슬픔들을 하고서 차라리 나에게 화하도 내다 그런 난 편했을까 그렇게 내게
