Title,Channel,Video Link,Channel Link,Views,Likes,Duration,Summary
엥 마크에서 체력이 한칸??,로희랜드,https://www.youtube.com/watch?v=2wYYTPQ7oVo,https://www.youtube.com/channel/UCKVAgGrCQ24wm1PFcWl2phQ,231444,43038,0:38,구독을 누르면 최대 체력이 줄어들고 좋아요를 누르면 최대 체력이 증가한다. 그렇다면 손쉽게 야생할 수 있겠다. 좀비도 손쉽게 잡을 수 있고 워드도 잡을 수 있다. 크리퍼 군단이 와도 절대 안 죽을 것 같다.
'발'로 해봤습니다 ㅋㅋㅋㅋ #무한의계단 #모바일게임,아이고,https://www.youtube.com/watch?v=4j-2V7uesx4,https://www.youtube.com/channel/UC4bbeipO3PFwAH4Osu2Rfuw,310070,32941,0:24,발로 해도 너보다 잘하겠다 그래서 무한의 계단 PVP 한 번이라도 이기 천 점이라도 도전해 보겠다 아 잠깐만 진짜 지날 거 같은데 아 진짜 진짜 지나갈 거 같은데 아 잠깐만 아 진짜 진짜 지나가다 발로해도 저보다 잘할 것 같은 사람 구독과 댓글 남겨주 발로해도 저보다 잘할 것 같은 사람 구독과 댓글 남겨주 발로해도 저보다 잘할 
네더라이트 세상이 된 마인크래프트 #shorts,견뭉,https://www.youtube.com/watch?v=dpHhS-OhVHg,https://www.youtube.com/channel/UCKC4R6B8bTLIKH1V9PyD7Iw,194098,9834,0:53,네더라이트 블록을 캐는 것이 오늘의 목표인데 다이아 곡괭이가 필요한데 주민 말 그러면 또 네더 라이트로 바뀌는 거냐고 하면 안 돼 블록도 해면은 네더 라이트로 나오나 네드라 파편이 나오는데 막대기가 없으면 다이아를 얻어도 의미가 없어 막대기를 어떻게 얻지 못먹을 캐 가지고 자동으로 입이 켜지게 만들어보자 도구 대장장이나 거래를 하는
여러분들은 설명을 듣고 맞출 수 있나요?,양세돌,https://www.youtube.com/watch?v=RgXXsSZVTRg,https://www.youtube.com/channel/UCsYWsulNo5XcYkj4e0Nc6CQ,203899,11719,1:00,스피드 퀴즈를 합니다 문제를 보고 설명해 주는 사람과 설명을 듣고 맞추는 사람이 한 팀입니다 가장 많이 맞춘 팀에게 만 원을 드리겠습니다 민서 세도 어떤 박사를 정치하는 것입니다 누구를 아세요 황박사 누구를 아세요 황박사 얼굴이 못생겼다 할때 뭐라고 해 내 얼굴 상대 얼굴이 못생겼다 할때 뭐라고 해 내 얼굴 외개인 아니요 아니요
신의 계시를 받아 이 싸움을 멈추러 왔다,잠뜰 TV,https://www.youtube.com/watch?v=_HuAdTou_kI,https://www.youtube.com/channel/UCg7rkxrTnIhiHEpXY1ec9NA,182323,7480,39:09,공룡 왕국에서 퇴출 당한 것이 아니라 바다 왕국의 왕이 되어서 바다 왕국에 있는 분쟁을 없애고 평화를 가져오고 싶어 왔다. 그런데 왜 이렇게 지들끼리 싸워 싸우는지 모르겠다. 그래서 나는 바다 왕국의 왕이 된 것이 아니라 바다 왕국의 왕이 된 것이다. 그래서 나는 바다 왕국의 왕이 된 것이다.
[ 불도그 LIVE 생방송 11/29 ] 리니지m 전섭2위캐릭 암흑기사 클래스체인지 지금바로갑니다! 신화장갑삽니다!! 급구! #리니지M #홀덤 #빨무 #개운디,불도그,https://www.youtube.com/watch?v=gDmKI1zRM6Y,https://www.youtube.com/channel/UCBjPppB6FOLloYBUvgbqE_A,188615,2146,06:16:24,클래스 체인지 대형 컨텐츠인 암흑기사 클체 이벤트를 진행하고 있습니다. 이벤트 클래스 체인지 클릭을 통해 다이아를 충전하고 아이템을 바꿔 물약을 충전하면 됩니다. 다이아를 충전하는 순간 세공이 사라져요 그래서 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때
(44화) 아이돌학교 - 인성논란 #삐야기 #제페토 #로블계 #추천 #아이브,삐야기,https://www.youtube.com/watch?v=42tXyI1kMnM,https://www.youtube.com/channel/UC3wA0h62pmP7wxSGRNMQTvQ,137283,9749,0:49,우리 이름이 뭐니 민지예 나중에 커서 데비 젤처럼 멋진 아이돌이 될 거예요 잼민이들아 아이돌은 아무나 되는 줄 알아 우리 이름이 민지예 라고 하면 다들 어떻게 생각해 그래 우리 이름이 민지예라고 하면 다들 다 아는 거 아니냐고 우리 이름이 민지예라고 하면 다들 다 아는 거 아니냐고 그럼 다들 다 아는 거 아니냐고
동네에서 스타 2인자라며 거들먹거리는 상대 ... 양학당할 다음 상대로 홍구를 지목하는데...???,발스타홍구,https://www.youtube.com/watch?v=PBEBBvfTb1w,https://www.youtube.com/channel/UC4P7F8qenDo1O_5NvgBb_cg,83034,1255,22:27,커세어를 뽑을 시간에 더 열심히 살려 봐 라고 했는데 왜 이렇게 말해 나와 왜 이렇게 말해 나와 왜 이렇게 말해 나와 왜 이렇게 말해 나와 왜 이렇게 말해 왜 이렇게 말해 나와 왜 이렇게 말해 사람을 가면서 건드려야 되는 거냐고 왜 이렇게 말해 사람을 잡으면서 건드려야 되는 거냐고 했다.
이 영상에서 포켓몬은 식량입니다!,너굴몬,https://www.youtube.com/watch?v=9bWxe6ZwLz8,https://www.youtube.com/channel/UCwgAThSYfmU9YRPq4Z1nJfg,77556,5309,0:39,랜덤 포켓몬을 소환하려고 하는데 그 포켓몬을 보면 떨어는 먹거리를 여러분께 드리려고 합니다 영상은 우 족자입니다 구독과 따 봉으로 힘을 넣어주세요 자 선 무지기 색지에 큐토리 열매 하나도 얹어 줬는데 왕눈해 왔습니다 맛있는 해파리를 소물 드리려고 했는데 안 팔더라고요 대신 왕눈 파워퍼프걸 기 선물 드리겠습니다 다음 주로도 비슷하게 짬뽕으로 었는데
1분타워 하드모드? 이제 1분만에 깨는것이 엄청 어려워졌다 ㄷㄷ (로블록스 1분타워 1편),집사TV,https://www.youtube.com/watch?v=9aUNtBP7Vbo,https://www.youtube.com/channel/UCRsLT5zPV5LBgBM8TJOOg_Q,122249,2427,10:16,우리 같이 투어를 해보도록 하겠습니다 일단 여러분들의 실력을 보고 초를 정해야 되는데 같이 회의를 하자고 하자 나는 그냥 여기서 있을 것 같아 빨리 퇴근하도록 하겠습니다 이렇게 되면 우리가 할 수 있는 것은 다 할 수 있을 것 같아 그렇게 되면 우리가 할 수 있는 것은 다 할 수 있을 것 같아 그렇게 생각을 하고 있습니다 여러분 
ALL 미드 바꿨더니 우승팀 돼버린 김민교팀,튜브김민교,https://www.youtube.com/watch?v=lh3-Qi0Vvzw,https://www.youtube.com/channel/UCBA9XaL5wCdHnC5EmEzwrqw,433440,2767,22:49,우리 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀 바텀
로블록스인데 미스터비스트 입니다,꽥,https://www.youtube.com/watch?v=8U67jOv-y18,https://www.youtube.com/channel/UCVZ0SJNurJAv-6hV5VEGB2A,90845,9974,0:36,미스터 비스트의 독특한 도전들 중 세 가지를 로블록스에서 제언해 보려고 합니다 좋아요 버튼을 누르고 함께이 보험에 참여해 주세요 미스터 비스트의 가장 높은 조회를 기록한 영상인 오징어 게임 영상에서 유리다리 건너기를 해 보도록 하겠습니다 오징어 게임 영상에서 유리다리 건너기를 해 보도록 하겠습니다 두 번째 장면 이건 믿을 수 없을 정도로 신기한데요 도리
안싸워주고 상대 넥서스만 계속 부수면서 도망다니기ㅋㅋ,[ALTUBE] 김성현TV,https://www.youtube.com/watch?v=EIpBoSaISYA,https://www.youtube.com/channel/UCOTJtP0Z9DjpPU43B5m1V6A,119188,1308,49:26,상대가 질럿이 많을 수 있기 때문에 수비를 잘 해줘야 될 것 같다. 그리고 상대가 공격을 받을 가능성도 있기 때문에 수비를 잘 해줘야 될 것 같다. 그리고 상대가 공격을 받을 가능성도 있기 때문에 수비를 잘 해줘야 될 것 같다.
리니지m 암흑기사 클체완료 씹사기 죠씁니다,카즈야,https://www.youtube.com/watch?v=JQ3h6jiA9E4,https://www.youtube.com/channel/UCjeNm1S9eh3E64YhadmEwNg,68392,1315,04:17:36,리니지엠 하는 사람들은 스킬이 잘 안 보이는데 아이템을 잘 안 쓰는 것 같아 스킬을 좀 더 잘 써야 될 것 같다.
어깨 잔뜩 올라간 오세블리? 오늘 팀장이 바뀝니다..오팀장 강등 방어전!! [23.11.30 #3],MUTUBE 풀영상,https://www.youtube.com/watch?v=Nuh2mH6a0jU,https://www.youtube.com/channel/UCP-KRZsIkIqww2jIdrciu2g,46714,554,01:39:35,방송을 안 본 사람들이 많아서 여자 팀장을 한 명만 뽑으려고 했는데 갑자기 오세블리 씨가 들어와서 갑자기 갑자기 무슨 말을 했냐고 물었다. 그래서 알겠다고 했다. 그리고 제가 한 번도 안 해본 여자 BJ를 한 명 뽑겠다고 했는데 갑자기 갑자기 한 명 밖에 안 뽑았다고 했다.
23.11.30(목) 【 인피쉰 생방송 다시보기 】 스타 빨무 스타크래프트 Starcraft,인피쉰,https://www.youtube.com/watch?v=zS--xwjn1SA,https://www.youtube.com/channel/UC-okJdotaXPlzivRzHFqzuA,103418,4553,05:59:58,우리 팀이 상대적으로 더 많이 나올 것 같은데 빌드가 별로 안 좋아 일단 물량을 좀 더 주면서 운영을 들어가야 될 것 같아요 그리고 최대한 천천히 하면서 최대한 빨리 가야 될 것 같아요 그리고 빌드를 꼭 써야 되는 이유가 있냐고 물었다.
🔴[리니지M 11월 30일] .  #리니지m #리니지2m #홀덤 #天堂M,빅보스,https://www.youtube.com/watch?v=Jc84AVa18S4,https://www.youtube.com/channel/UCTLIq9jl-pb_ojAZZtoGaOQ,54323,1246,02:32:11,형들 구독 버튼 한번 눌러 달라고 했다. 형들 구독 버튼 눌러 달라고 했다. 형들 구독 안 하면 뭐 하냐고 물어 봤을 때 90 이상 나올 것 같다고 했다. 그래서 나는 그냥 아무 때나 방송을 키고 싶다. 그래서 그렇게 했다. 그래서 나는 그냥 아무 때나 방송을 키고 싶다. 그래서 그렇게 했다. 그래서 나는 투사가 너무 재미있는데
[ 11. 30 live ] 리니지m 빛소닉 케릭 가져왔습니다. [ 불도그 수삼 ],수삼티비,https://www.youtube.com/watch?v=u63DhSbDGuM,https://www.youtube.com/channel/UCLi7ULqlbpBLA1PkOE4QlKw,76584,1540,03:32:33,리니지 자체적으로 렉이 심하다고 생각해서 계정을 정리하고 계정을 a 팀으로 넘겨 올 것이다. 그리고 계정을 정리하고 돈을 주면 계정을 다시 만들 수 있다.
