Title,Channel,Video Link,Channel Link,Views,Likes,Duration,Summary
한국에서 결혼할 때 생기는 갈등,잠깐밈 - 1분간 재밌게봐,https://www.youtube.com/watch?v=yudChsWp-zk,https://www.youtube.com/channel/UCKDU7mZPRarBm8-8hOgtAFw,3546627,77934,0:58,우리 둘이 행복한 결혼 하고 싶다고 해서 스몰 웨딩 하려고 생각 중이다 우리 둘이 행복한 결혼 하고 싶다고 하니 보여주기 시 말고 그냥 우리 둘이 행복한 결혼 하고 싶다고 했다 지랄하고 자빠졌네 아주 지랄하고 자빠졌다 아주 지랄하고 있다
여자가 시계를 보고 남편에게 화낸 이유 #shorts  #남편 #의사,썰공주,https://www.youtube.com/watch?v=NKjpxhSK-M0,https://www.youtube.com/channel/UCPRP0Yt9IH_emCymNrX4-dw,748632,24043,0:32,남녀가 거사를 치르고 있었는데 여자가 남자의 머리 위에 거대한 시계가 떨어지는 것을 보고 시계 시계라고 하자 남자는 더 세게 하였다 결국 거대한 시계가 떨어져 남녀는 시계에 깔려 죽었다.
[빵빵이의 일상] 옥지의 유혹,빵빵이의 일상,https://www.youtube.com/watch?v=tmfVyV26vcs,https://www.youtube.com/channel/UCI2T1_bAtgnKKzfhw3Qib9w,1372309,61759,1:00,주인장 오줌 싸러 갔어요 그럼 네가 말아봐 내가 깔라는 콤 달콤한 건 붕어빵 착착착 개판이구만 뭐라 했냐 씨발놈 이렇게 하는 거 이렇게 하는 거 이렇게 자 행복해
갱생불가 나락 가버린 계모랑 여동생 #shorts #완벽한결혼의정석,MBN Drama,https://www.youtube.com/watch?v=Sl4OOHnvg50,https://www.youtube.com/channel/UCLqecwv-NjFSJ4gNwUunhTA,597721,8489,0:46,이주가 준 서류는 다 가짜라고 이주가 준 거 아니라고 내가 직접 검사한 거라고 이주가 정말로 내 친딸이라고 그게 무슨 소리야 말이 안 된다 말이 안 된다 말이 안 된다 말이 안 된다 말이 안 된다 말이 안 된다.
길바닥에 꽁초 버리는 사람 참교육 하기 #shorts #힘쎈여자도봉순 #박보영 #박형식,1분드라마모음zip,https://www.youtube.com/watch?v=lyotKRJm7TI,https://www.youtube.com/channel/UCxr89be3loUcLGYCAIcj-yw,1038972,18359,0:58,아저씨들이 담배 공초 버리지 말라는데도 아저씨들이 담배 공초 버리지 말라는데도 계속 버렸어요 아씨이라 이씨 따아 빨리가 닦아이 미 따까 왜 어때 들어와 어 빨리 쳐 어 빨리 쳐
태권도 5단 이수근의 발차기 실력ㄷㄷ #shorts,1분예능모음zip,https://www.youtube.com/watch?v=ldtuYSf_hnU,https://www.youtube.com/channel/UC8pqfCpRwtOeVG3lfvlkb9w,627777,7358,0:31,수근형 이런 거 잘해 발이 더 안 나와 발은 9천 나와야 한다 손으로 발 더 발 손으로 발 더 발 손으로 발 더 발 손으로 발 더 발 손으로 발 더 발 손은 9천 나와야 한다 DA <extra_id_23> <extra_id_24> <extra_id_25> <extra_id_26> <extra_id_17> 
"[sub] 천상계, 인간계 배우의 작품 썰 | 🔥나영석의 지글지글",채널십오야,https://www.youtube.com/watch?v=CCZqax6-QbE,https://www.youtube.com/channel/UCQ2O-iftmnlfrBuNsUUTofQ,1652600,21055,19:57,형은 영화를 잘 보기는 하지만 외국 영화는 별로 안 좋아하고 한국 영화는 많이 보는데 그 중 영화 기생충은 잘 못 봤다고 했다.
박보영의 사소한 발견이 낳은 예상치 못한 결과ㄷㄷ #정신병동에도아침이와요,숏스핀,https://www.youtube.com/watch?v=pyvdzdxHEm4,https://www.youtube.com/channel/UC1tKpqGb3-iXFRrJDL-AEtA,1159298,29245,0:57,상태가 호전되고 안되고는 병을 인식하는 것이 중요해 병식이 있는데도 그 병기에 계속 숨어 있다는 건 환자 입장에서도 도움이 안 돼 무슨 일 있으면 연락 달라고 했다.
임시완 EP.16 술판에서 신세지면 벌어지는 일?!,짠한형 신동엽,https://www.youtube.com/watch?v=ovKQRA59gC0,https://www.youtube.com/channel/UCikSO7mSQl-lx3BJOBzqA8w,512499,9445,27:52,아웃백 스테이크 하우스는 두 가지 부위를 함께 즐기는 프리미엄 스테이크로 안심과 채끝 등심을 함께 즐길 수 있다.
할배! 화내지 마세요! #국제시장,무비옹,https://www.youtube.com/watch?v=H0Jyz2yMtXo,https://www.youtube.com/channel/UC-uZfUDtjf4XpnZzbWV-Yzg,1538083,26084,0:51,할배가 화내면 무서워요 기억이 뭐야 오래돼도 잊혀지지 않고 오래돼도 잊혀지지 않는 기억이 있다 할배 화내지 마세요 할배가 화내면 무서워요 할배 화내지 마세요 할배가 화내면 무서워요
"비질란테 명장면, 유지태: 무릎 꿇어 주십시오. 살려는 드릴게",짧은무비,https://www.youtube.com/watch?v=KcJHA5TODoM,https://www.youtube.com/channel/UC3IED80qDRz9Jmc76EJW8vg,1503799,14879,0:33,경찰은 그 자리에 그대로 무릎 꿇어 주십시오 Ah 경찰은 그 자리에 그대로 무릎 꿇어 주십시오 Ah 경찰은 그 자리에 그대로 무릎 꿇어 주십시오 Ah 경찰은 경찰이다 Ah 경찰은 경찰이다
