Title,Channel,Video Link,Channel Link,Views,Likes,Duration,Summary
"""나만 빼고 사면"" 열받은 최서원..폭로전 나서나 [뉴스.zip/MBC뉴스]",MBCNEWS,https://www.youtube.com/watch?v=ErCkI-CEKeg,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,1323171,17259,7:04,박 전 대통령은 국정농단 의혹과 관련해 최 씨가 재단에 낸 출연금이 제 3자 뇌물죄로 인정된 것을 두고 납득할 수 없다며 자신의 탄핵과 관련해 맡겨 준 직분을 끝까지 해내지 못했다고 사과했다.
"[특집 보도] 김건희,  디올에 이어 또 샤넬까지! (S.3)",서울의소리 Voice of Seoul News,https://www.youtube.com/watch?v=OoyUsbb2Fzs,https://www.youtube.com/channel/UCUxTPRSns--l5BX2537u7Rw,363561,17110,0:58,최 목사는 김 여사에게 샤넬 향수화 화장품 세트를 선물했고 김 여사는 최 목사가 보는 앞에서 샤넬 화장품과 향수를 확인했다고 한다
무죄 받은 유동규 “최종 수혜자는 이재명” | 뉴스TOP 10,채널A 뉴스TOP10,https://www.youtube.com/watch?v=ExeE3a2BvnM,https://www.youtube.com/channel/UCIIpmDPVk7nzNHEUSHmvkUg,453236,11168,29:41,김 씨가 불법 정치자금을 받은 것에 대해 재판부가 인정을 했다면 대선 경선 자금으로 적재 적수에 썼는지 검찰이 확인해야 한다.
"""부산엑스포 참패 이유가 뭐냐"" 박진에게 3번 묻다 폭발한 박병석",팩트TV NEWS,https://www.youtube.com/watch?v=_xWRLs8vpC4,https://www.youtube.com/channel/UC1ihKJ6GH37xoWdtllZqhLw,492346,10426,6:57,박 의장은 엑스포 유치에 관해 원팀 코리아가 돼서 대통령부터 재개까지 한몸이 돼서 뛰었다는 긍정적 측면이 있지만 정부의 판단이 빗나간 데에 대해서는 안타깝게 생각한다고 했다.
"[신장식의 뉴스하이킥] 2030엑스포 사우디 리야드로, 부산 2035년 재도전? - 홍익표, 헬마우스&장윤선, 오윤혜, 이언주, 박태웅",MBC 라디오 시사,https://www.youtube.com/watch?v=MpmHeTqEcEk,https://www.youtube.com/channel/UCTTmtS2ljy1vyl_s-d_LEHQ,311903,12439,02:20:23,민주당 소속 의원의 절반에 가까운 75명이 위성정당 방지법 당론 채택을 요구하는 기자 회견을 가졌다.
"""진기명기인 줄 알았어요""…다리에 끼인 15톤 덤프트럭 #shorts / KBS",KBS News,https://www.youtube.com/watch?v=BT2GyfOR0eA,https://www.youtube.com/channel/UCcQTRi69dsVYHN3exePtZ1A,1098159,9332,0:48,경북구미시 거의 동에서 도로를 달리던 15톤 화물트럭이 다리 아래에 끼었고 이 사고로 트럭 운전자인 60대 남성 한 명이 가벼운 부상을 입었습니다
[여랑야랑]“선배가 사준 술” / 또 고민정 실수? | 뉴스A,채널A 뉴스,https://www.youtube.com/watch?v=wlHyHu6nAsE,https://www.youtube.com/channel/UCfq4V1DAuaojnr2ryvWNysw,312502,7217,4:57,송 전 대표는 NHK 유흥주점 사건에 대해 송 전 민주당 대표가 해명을 했다 송 전 대표는 송 전 민주당 대표가 술을 사줬다고 했다 송 전 대표는 송 전 민주당 대표가 당황한 기색을 보였다
"[TV CHOSUN LIVE] 11월 30일 (목) 박정훈의 정치다 - '李 측근' 김용, 징역 5년에 법정구속",뉴스TVCHOSUN,https://www.youtube.com/watch?v=8JZpiWcPe8k,https://www.youtube.com/channel/UCWlV3Lz_55UaX4JsMj-z__Q,164518,6260,01:34:30,김 전 원장이 불법 정치자금을 받은 혐의로 징역 5년을 선고받고 법정 구속이 됐는데 이 대표의 최측근이 불법 정치자금을 받은 혐의로 실형을 선고받았다 점에서 의미가 적지 않다.
이재명과 한 패거리 법원장을 끌고와서 두들겨 패는 김도읍,애국자 박정희 대통령,https://www.youtube.com/watch?v=H8HO82GJImE,https://www.youtube.com/channel/UCM8INpQ8Ui9H7czQIih3j4A,225175,14121,0:32,사법부 대법관과 유창은 판사 다 말도 안 되는 논리를 보여준다 이 대표의 위정 사건이 사회에 미치는 영향이 큰 사건인지 사회에 미치는 영향이 크다고 할 수 없다 김 판사를 응원한다
"""엄마, 내가 이름 봤어""…수능 사상 초유의 일 '소름 끼쳐' #뉴스다 / JTBC News",JTBC News,https://www.youtube.com/watch?v=yt5_qRuxyfQ,https://www.youtube.com/channel/UCsU-I-vHLiaMfV_ceaYz5rQ,4263340,25989,8:47,수능 시험장에서 한 교사가 시험 종료령이 울린 뒤에도 답안지에 체크를 하고 있던 수험생을 적발해 시험 종료령이 울린 뒤에도 답안지 작성이나 수정을 하면 부정행위가 되기 때문에 무효 처리가 된다.
