Title,Channel,Video Link,Channel Link,Views,Likes,Duration,Summary
금메달을 따고도 벌받는 중국 육상선수,우리의 영웅,https://www.youtube.com/watch?v=khcRDYHBlqM,https://www.youtube.com/channel/UCiYumpLTlyuZZRT3md-VOcw,2072839,23303,1:00,중국 여자 육상선수 왕리핑에 대한 일화입니다.,중국 여자 육상 선수는 금메달을 따고도 굳기 하나 없이 오로지 맨몸으로 우승 세레머니를 하고 있다 경기장은 정적이 흘렀고 아무도 그녀의 우승을 축하해 주는 사람이 없었다
상남자 윤형빈에 대해 당신이 몰랐던 사실,후이즈잇,https://www.youtube.com/watch?v=nhCAGHLNJbE,https://www.youtube.com/channel/UCl3idtFdsmndolQvbUghcZg,309552,4479,0:37,윤형빈은 종합격투기 선수로 대뷔한 뒤 한일전에서 역전승을 거두며 유명세를 떨친 적이 있다 일본의 쇼유 니키는 엽기적인 애미를 서슴치 않는 광인이 있기에 기자회견장에서도 가책 없이 간장 테로를 자행했다 일각에서는 짜고치는 모습이라고 주장하고 있다 한다
"대한민국 90대 스윙클라스 (93세 이길여 총장, 영상출처 길병원TV@gilmedicalcenter) 자선행사라고 하니 악풀삼가 플리즈!",iCLOO Golf Edition,https://www.youtube.com/watch?v=4lFaKMAqJhU,https://www.youtube.com/channel/UCYy6GvN4G24MrKXuTVHzWzg,470179,1743,0:23,하나 둘 셋 추면 다같이 크게 치겠습니다 하나 둘 셋 추면 다같이 크게 치겠습니다 하나 둘 셋 추면 다같이 크게 치겠습니다 하나 둘 셋 추면 다같이 크게 치겠습니다 하나 둘 셋 하나 둘 셋 하나 둘 셋 하나 둘 셋 하나 둘 셋 하나 둘 셋 하나 둘 셋 하나 둘 셋 <extra_id_23>
조기축구 온라인 메시 그리고 또 메시!!!,끼발산,https://www.youtube.com/watch?v=1EqmbSKBQRc,https://www.youtube.com/channel/UCmhyY5A1fH6JLGCrGOUYQCg,529221,24505,0:53,메시는 브라질 좋지 브라질 어 누구누구 나수요 빵상 깨랑까랑 브라질 좋지 브라질 어 누구누구 나수요 빵상 깨랑까랑 브라질 좋지 브라질 좋지 브라질 
한국파이터를 개무시한 일본인의 최후,김독도,https://www.youtube.com/watch?v=_Zf24ikS65g,https://www.youtube.com/channel/UCC_iGh0KaEHqA8ChSx6v6Rg,1375584,29924,0:35,일본 선수가 한국 선수에게 강도 높은 간장 테로가 찾아오자 당황한 한국 선수는 진간장에 눈조차 뜨지 못하고 초크에 걸린다
폼 이상하다고 하려 했는데 스승이 김성근 감독님 #shorts #최강야구,1분예능모음zip,https://www.youtube.com/watch?v=4LgJx_MZOoA,https://www.youtube.com/channel/UC8pqfCpRwtOeVG3lfvlkb9w,346678,4687,0:32,방망이 누구한테 배웠는지 경원이 방망이 연구한 것 밤에 스윙 누리면서 어 진짜 좋은데 어떤 것 때문에 맞는 것 때문에 좋은 것 때문에 좋은 것 때문에 좋은 것 때문에 좋다
감스트 맨유 3-3 무승부 이걸 비기네.. 개열받네요,감스트GAMST,https://www.youtube.com/watch?v=Yk-zxe6IhWU,https://www.youtube.com/channel/UCbFzvzDu17eDZ3RIeaLRswQ,618850,13922,19:14,

맨유 팬이 되기 위해 챔스 16강에 진출한 맨유 선수들에게 프리킥을 내주지 말아야 한다 우리는 무조건 이겨야 한다 우리가 우승하면 우승 트로피를 들고 떠나보자 아 진짜 개 빡세네 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 아 진짜 <extra_id_23>
나무를 달려 올라가는 선수들ㄷㄷ,노팅킹,https://www.youtube.com/watch?v=OBu5tyzuwCQ,https://www.youtube.com/channel/UC9f84VhwZXHDmHzyXmcgjhw,625187,0,0:48,럼버잭 팀스의 나무 기둥 오르기 종목은 밧줄만을 이용해 상대보다 빠르게 기둥을 오르는 음악으로 말도 안 되는 엄청난 스피드를 보여준다 그들이 오르는 속도는 말도 안 되는 엄청난 스피드를 보여준다
결국 공을 버려버린 투수,바름투더탑,https://www.youtube.com/watch?v=3EZa-JEhcx4,https://www.youtube.com/channel/UCmx-gKGiZdr6GU1P48BThGA,3040816,31123,0:41,결국 공을 버려버린 투수,마무리 투수 킹 부를 아웃카운트 한 개만을 남겨 놓은 상황에서 그는 들고 있던 공을 바닥에 버려 당황스러운 순간 모두가 숨죽이며 이를 지켜보는 가운데 주자는 보크로 인해 3루로 강제 진료하게 된다
"""레이저 발사는 테러"" FIFA 고발 ""제발 그러지마"" 중국서도 비판 #Shorts (MBC뉴스)",MBCNEWS,https://www.youtube.com/watch?v=JvkBuW9z_xw,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,642980,11266,1:00,서 성신여대 교수는 중국 팬들의 신사적 행동을 국제 축구 연맹 피파에 고발했다고 밝혔다
[최강야구 클로징] 시즌 20승 달성! MVP 발표와 아쉬운 이별 'Goodbye 원성준✨' | 최강야구 68회 | JTBC 231127 방송,JTBC Entertainment,https://www.youtube.com/watch?v=jdKTUvfDpmo,https://www.youtube.com/channel/UCFL1sCAksD6_7JIZwwHcwjQ,597036,9907,14:46
,최 씨는 우승을 차지한 연 팀의 선수로서 마지막 날을 보냈고 앞으로 더 열심히 해서 프로 야구 프로그램에 맞는 최강의 선수가 되도록 노력하겠다 말했다.
이경기는 결승전 올스타전이 아닙니다,K-HISTORY,https://www.youtube.com/watch?v=0Q_An2IF5c8,https://www.youtube.com/channel/UCupZDjuu0zDKbz7p1YzmN-w,3167135,19280,0:36,중국 골키퍼의 행동에 세계가 정확하며 긴급한 상황 속 골키퍼는 패널티 킥을 막는데 실패해 버리고 선수들은 신경도 쓰지 않아 버립니다 모든 사건의 원인은 머머리 심판 때문에 생겨났습니다
손흥민 세레모니에 발끈한 우레이 그런데 중국에서도...,why?와이튜브,https://www.youtube.com/watch?v=aGIkoHW2g-Y,https://www.youtube.com/channel/UCLDTnLB3i7rUXBcxGrcKAZA,442207,6218,1:00,월드컵 예선전에서 중국은 태국 전에 승리하며 자신감이 붙었던 중국 축구에 결코 넘을 수 없는 벽이 있다는 걸 보여주며 씻을 수 없는 굴욕을 선사했다.
LG트윈스가 우승할 수밖에 없었던 41933가지 이유 | 야구돼장 이대호 EP3-1 오지환·박동원,이대호 [RE:DAEHO],https://www.youtube.com/watch?v=IjMowDdfhb4,https://www.youtube.com/channel/UCPoTjCZvUOkECBNm6ezsVEA,344380,8188,28:22,박 선수는 한국 시리즈 때 감이 갑자기 올라갔는데 그 이유는 한국 시리즈 준비할 때 팀이 중요했기 때문이다 그리고 한국 사람들이 많이 알아봐 줘서 실감이 잘 안 난다 했다.
"“중국에 크게 화가난 태국팀 결국 경기중 집단 행동” 경기내내 소림축구 시전하더니 대반전.. AFC, 중국팀 경기장 출입금지 사상초유 상황 태국 ""중국에겐 무예타이가 답이다""",쓸모왕,https://www.youtube.com/watch?v=PWKETrKw6DA,https://www.youtube.com/channel/UCVObSp4MlJwCsh6vtKz4PHQ,506733,7313,10:19,

중국 슈퍼리그 저장 FC 불을 상대로 중국 축구가 소림 축구를 보여줘서 논란이 되고 있다 중국은 아시아 챔피언스 리그 홈경기에서 자신들의 모고를 드러냈고 아시아 축구팬들은 이런 반응을 보였다
손흥민 얼굴에 레이저 쏜 범인을 고발한 한국인,들었어?,https://www.youtube.com/watch?v=l1xaQUKvZzI,https://www.youtube.com/channel/UCrF4HldLotehw991JTsqXhw,325518,7902,0:54,중국전에서 우리나라는 비매너 행위를 당한 일이 있었는데 중국 관중에 페널티 킥을 방해하기 위해 초록색 레이저를 쏜 것이다 이에 직접 중국을 피파에 고발한 한국인이 나타났다 서 성신여대 교수는 피파의 고발 메일을 보냈다고 했다 한다
자신이 없다 질 자신이,이바바,https://www.youtube.com/watch?v=e5w13vOaKJI,https://www.youtube.com/channel/UCO7IFuveD9R4APey8RVDRuQ,274016,2043,0:41,대방은 상대방의 키를 제압해 기선을 제압하고 숨 기술을 걸어 넘어 성공했지만 대방은 패배할 수밖에 없었다 기세가 중요한 거 같다 기세가 중요한 거 같다
